<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SBER;D;04/12/24;000000;235.29;235.97;230.26;230.8;45313800
SBER;D;05/12/24;000000;231.05;233.79;224.3;224.55;72374990
SBER;D;06/12/24;000000;224.6;233.75;222.82;233.48;86902200
SBER;D;07/12/24;000000;233.63;238.25;231.52;237.84;81003410
SBER;D;10/12/24;000000;239.27;240.51;236.75;237.29;52314320
SBER;D;11/12/24;000000;238;238.01;230.65;230.82;58548350
SBER;D;12/12/24;000000;230.5;234.39;229.22;234.19;64817940
SBER;D;13/12/24;000000;234;235.95;228.52;229.02;59118900
SBER;D;14/12/24;000000;228.89;231.33;227.85;228.7;46091280
SBER;D;17/12/24;000000;228.6;229.05;224.38;225.53;54519260
SBER;D;18/12/24;000000;225.58;227.49;223.72;226.5;45827690
SBER;D;19/12/24;000000;226.72;230.8;224.33;230.15;58002020
SBER;D;20/12/24;000000;230.17;234.99;227.71;229;123831990
SBER;D;21/12/24;000000;229.32;258.98;228.03;257.6;235163880
SBER;D;24/12/24;000000;260;270;256.51;264.9;162588610
SBER;D;25/12/24;000000;264.93;266.79;261.02;264.34;83747800
SBER;D;26/12/24;000000;263.64;273;260.31;271.69;125501440
SBER;D;27/12/24;000000;272.02;274.25;269.1;269.56;75523970
SBER;D;28/12/24;000000;269.69;272.16;268.57;271.2;52121690
SBER;D;29/12/24;000000;271.37;273.99;270.4;272.83;39560080
SBER;D;31/12/24;000000;273.99;279.49;273.7;279.43;52353840
